Cell,Offset (a),Coefficient (b),Exponent (c),AI,Type
M02_JS_D1_C11,18.6846468326174,122.794489892321,-58.7618938209053,0.123144104803494,BS
M02_JS_D3_C07,44.9497668190345,71.7905331279639,-93.8932271346345,0.340637450199205,BS
M02_JS_D4_C06,18.2834122503563,128.121883102813,-63.3419402079932,0.112303881090009,BS
M02_MW_D3_C06,19.5138987515968,18.3085797615276,-8.62521717034051,0.483747609942638,BS
M02_MW_D6_C12,17.7562035663565,11.1293613405796,-10.6577608701018,0.574341546304164,BS
M02_MW_D6_C13,15.4518783624118,9.17784016963746,-11.1733796678524,0.603617181612659,BS
M02_SM_A5_C12,28.7027818156886,32.7638949711625,-7.00920512302726,0.436185133239834,BS
M03_JS_A1_C05,8.67182412148733e-06,79.2642493986006,-3.75395925164748,0.831775700934577,BS
M03_JS_A1_C18,NaN,NaN,NaN,NaN,BS
M03_JS_A1_C19,0.000283157608083798,51.620640060422,-0.14542235357144,0.58780276816609,BS
M03_JS_A1_C20,29.8414930573163,24.7342149143993,-16.9874340332942,0.565687789799078,BS
M03_MW_A1_C03,12.6450415283026,69.9924245402601,-28.3009763734504,0.128648648648649,BS
M03_MW_A1_C06,16.4968671998544,21.2689758346889,-9.9991210810805,0.394546912590215,BS
M03_MW_A1_C08,16.9711063368762,29.1175823455491,-18.1955587627399,0.114247669773635,BS
M03_MW_A1_C11,12.685695639315,13.5634929103524,-16.5390582430526,0.382665990876836,BS
M03_MW_A1_C16,NaN,NaN,NaN,NaN,BS
M04_JS_A1_C02,19.4794225243136,17.5446227124867,-36.0302973242735,0.512820512820514,BS
M04_JS_A1_C04,21.931650523752,9.05561599633548,-23.7601797053442,0.760186263096625,BS
M04_JS_A1_C08,27.262904286926,22.3464126251893,-8.54380191463951,0.441647597254004,BS
M04_JS_A1_C12,17.4425387791998,14.8849244881012,-41.885312579528,0.530419880034277,BS
M04_JS_A1_C13,11.2645416562308,18.8052636380353,-9.94369087420618,0.377479579929989,BS
M04_JS_A1_C14,16.7116180415511,12.9388992139479,-5.74923264872396,0.478454680534917,BS
M04_JS_A1_C15,18.8510707674666,18.8596460293281,-9.69876363027944,0.43099068585944,BS
M04_MW_A1_C08,13.1929414593636,13.5831124791462,-4.40280087927651,0.661654135338347,BS
M04_MW_A1_C09,11.146614920503,22.7938718203465,-16.6753601307341,0.252498913515863,BS
M04_SM_A1_C12,29.1031317174053,70.1397661915563,-0.570800830914536,0.611295681063122,BS
M05_JS_A1_C01,NaN,NaN,NaN,NaN,BS
M05_JS_A1_C02,53.5912816693336,33.3000446880569,-19.517480526272,0.675362318840577,BS
M05_JS_A1_C03,17.4529138692824,20.9140647472584,-11.4957045089099,0.392633228840125,BS
M05_JS_A1_C05,43.8948560887435,33.6094860006487,-14.035504412439,0.533049040511726,BS
M05_JS_A1_C11,3.86300060779177e-06,58.6775522318445,-0.963632130245459,0.0555984555984556,BS
M05_SM_A1_C02,17.1729057685342,19.3584649619233,-9.74287771216006,0.378299120234605,BS
M06_MW_A1_C01,NaN,NaN,NaN,NaN,BS
M06_SM_A1_C01,73.805375446974,13.1206620323878,-137.563191834259,0.851851851851853,BS
M06_SM_A1_C09,36.8675072440478,51.5198759040742,-6.51616199776143,0.580645161290326,BS
M08_JS_A1_C04,65.5423205892574,35.9845638035549,-33.158079812676,0.683098591549299,BS
M08_MW_A1_C02,16.4589293779056,34.5201214654338,-28.0978326795054,0.303501945525292,BS
M08_MW_A1_C03,31.0863385010649,27.4639303909427,-15.1058952071933,0.470588235294118,BS
M08_MW_A1_C06,9.09053831191188,10.7782645268866,-7.24913261285396,0.438573315719947,BS
M08_SM_A1_C04,14.3617643676767,20.0791648758705,-17.319428353309,0.448569218870844,BS
M08_SM_A1_C09,17.8330021968665,21.4617144229899,-24.6682251047701,0.44628820960699,BS
M10_JS_A1_C02,39.7647550870202,16.3664936721833,-58.091327499732,0.662962962962962,BS
M10_JS_A1_C03,48.0791294223472,10.7566295187975,-93.3319208485317,0.775743707093825,BS
M10_JS_A1_C04,32.2135006123233,14.6953801422873,-3.3372677238983,0.616541353383458,BS
M10_JS_A1_C05,29.5427711591366,33.479877391523,-10.1666762676768,0.734831460674157,BS
M10_JS_A1_C08,17.7345342784444,46.8778741250813,-27.0080152854218,0.315040650406505,BS
M10_JS_A1_C14,NaN,NaN,NaN,NaN,BS
M10_JS_A1_C23,15.0106003948338,31.6320883341873,-21.1194905980793,0.327174749807546,BS
M10_JS_A1_C27,30.1861912125915,11.0888402281046,-16.8823794629606,0.731117824773413,BS
M10_MJ_A1_C03,NaN,NaN,NaN,NaN,BS
M10_MJ_A1_C06,51.1574414809512,18.5806668526959,-3.57896522107775,0.747252747252742,BS
M10_SA_A1_C03,3.01477302885686e-05,54.533576190574,-3.88397830952331,0.617283950617285,BS
